total_time_s, total_time, total_timesteps, total_episodes 
2839.1624977588654, (47:19), 3584, 13
2818.2147827148438, (47:31), 3584, 9
2851.8395907878876, (47.53), 3584, 12
2860.291816473007, (47:40), 3584, 13
2882.4625174999237, (48:02), 3584, 10
2826.3827033042908, (47:06), 3584, 11
2859.7470445632935, (47:39), 3584, 14
2828.4058022499084, (47:08), 3584, 10
2810.0486278533936, (46:50), 3584, 11
2789.441911458969, (46:29), 3584, 11
2852.7644877433777, (47:32), 3584, 11
2864.8609404563904, (47:44), 3584, 10
2850.0104558467865, (47:30), 3584, 9
2873.5477287769318, (47:53), 3584, 12
2812.7943348884583, (46:52), 3584, 10
2815.203382253647, (46:55), 3584, 11
2849.6071643829346, (47:29), 3584, 13
2875.0831236839294, (47:55), 3584, 12
2857.685335636139, (47:37), 3584, 12
2822.8212461471558, (47:02), 3584, 14
2860.251084089279, (47:40), 3584, 12
2817.4515614509583, (46:57), 3584, 10
2838.8465416431427, (47:18), 3584, 11
2862.861443758011, (47:42), 3584, 9
2862.6816067695618, (47:42), 3584, 12
2834.220910549164, (47:14), 3584, 11
2832.2350692749023, (47:12), 3584, 11
 
